Order ID,Order Date,Customer ID,Sales
CA-2016-152156,11/8/2016,CG-12520,261.96
CA-2016-152156,11/8/2016,CG-12520,731.94
CA-2016-138688,6/12/2016,DV-13045,14.62
US-2015-108966,10/11/2015,SO-20335,957.5775
US-2015-108966,10/11/2015,SO-20335,22.368
CA-2014-115812,6/9/2014,BH-11710,48.86
CA-2014-115812,6/9/2014,BH-11710,7.28
CA-2014-115812,6/9/2014,BH-11710,907.152
CA-2014-115812,6/9/2014,BH-11710,18.504
CA-2014-115812,6/9/2014,BH-11710,114.9
CA-2014-115812,6/9/2014,BH-11710,1706.184
CA-2014-115812,6/9/2014,BH-11710,911.424
CA-2017-114412,4/15/2017,AA-10480,15.552
CA-2016-161389,12/5/2016,IM-15070,407.976
US-2015-118983,11/22/2015,HP-14815,68.81
US-2015-118983,11/22/2015,HP-14815,2.544
CA-2014-105893,11/11/2014,PK-19075,665.88
CA-2014-167164,5/13/2014,AG-10270,55.5
CA-2014-143336,8/27/2014,ZD-21925,8.56
CA-2014-143336,8/27/2014,ZD-21925,213.48
CA-2014-143336,8/27/2014,ZD-21925,22.72
CA-2016-137330,12/9/2016,KB-16585,19.46
CA-2016-137330,12/9/2016,KB-16585,60.34
US-2017-156909,7/16/2017,SF-20065,71.372
CA-2015-106320,9/25/2015,EB-13870,1044.63
CA-2016-121755,1/16/2016,EH-13945,11.648
CA-2016-121755,1/16/2016,EH-13945,90.57
US-2015-150630,9/17/2015,TB-21520,3083.43
US-2015-150630,9/17/2015,TB-21520,9.618
US-2015-150630,9/17/2015,TB-21520,124.2
US-2015-150630,9/17/2015,TB-21520,3.264
US-2015-150630,9/17/2015,TB-21520,86.304
US-2015-150630,9/17/2015,TB-21520,6.858
US-2015-150630,9/17/2015,TB-21520,15.76
CA-2017-107727,10/19/2017,MA-17560,29.472
CA-2016-117590,12/8/2016,GH-14485,1097.544
CA-2016-117590,12/8/2016,GH-14485,190.92
CA-2015-117415,12/27/2015,SN-20710,113.328
CA-2015-117415,12/27/2015,SN-20710,532.3992
CA-2015-117415,12/27/2015,SN-20710,212.058
CA-2015-117415,12/27/2015,SN-20710,371.168
CA-2017-120999,9/10/2017,LC-16930,147.168
CA-2016-101343,7/17/2016,RA-19885,77.88
CA-2017-139619,9/19/2017,ES-14080,95.616
CA-2016-118255,3/11/2016,ON-18715,45.98
CA-2016-118255,3/11/2016,ON-18715,17.46
CA-2014-146703,10/20/2014,PO-18865,211.96
CA-2016-169194,6/20/2016,LH-16900,45
CA-2016-169194,6/20/2016,LH-16900,21.8
CA-2015-115742,4/18/2015,DP-13000,38.22
CA-2015-115742,4/18/2015,DP-13000,75.18
CA-2015-115742,4/18/2015,DP-13000,6.16
CA-2015-115742,4/18/2015,DP-13000,89.99
CA-2016-105816,12/11/2016,JM-15265,15.26
CA-2016-105816,12/11/2016,JM-15265,1029.95
CA-2016-111682,6/17/2016,TB-21055,208.56
CA-2016-111682,6/17/2016,TB-21055,32.4
CA-2016-111682,6/17/2016,TB-21055,319.41
CA-2016-111682,6/17/2016,TB-21055,14.56
CA-2016-111682,6/17/2016,TB-21055,30
CA-2016-111682,6/17/2016,TB-21055,48.48
CA-2016-111682,6/17/2016,TB-21055,1.68
CA-2015-135545,11/24/2015,KM-16720,13.98
CA-2015-135545,11/24/2015,KM-16720,25.824
CA-2015-135545,11/24/2015,KM-16720,146.73
CA-2015-135545,11/24/2015,KM-16720,79.76
US-2015-164175,4/30/2015,PS-18970,213.115
CA-2014-106376,12/5/2014,BS-11590,1113.024
CA-2014-106376,12/5/2014,BS-11590,167.968
CA-2016-119823,6/4/2016,KD-16270,75.88
CA-2016-106075,9/18/2016,HM-14980,4.616
CA-2017-114440,9/14/2017,TB-21520,19.05
US-2015-134026,4/26/2015,JE-15745,831.936
US-2015-134026,4/26/2015,JE-15745,97.04
US-2015-134026,4/26/2015,JE-15745,72.784
US-2017-118038,12/9/2017,KB-16600,1.248
US-2017-118038,12/9/2017,KB-16600,9.708
US-2017-118038,12/9/2017,KB-16600,27.24
US-2014-147606,11/26/2014,JE-15745,19.3
CA-2016-127208,6/12/2016,SC-20770,208.16
CA-2016-127208,6/12/2016,SC-20770,16.74
CA-2014-139451,10/12/2014,DN-13690,14.9
CA-2014-139451,10/12/2014,DN-13690,21.39
CA-2015-149734,9/3/2015,JC-16105,200.984
US-2017-119662,11/13/2017,CS-12400,230.376
CA-2017-140088,5/28/2017,PO-18865,301.96
CA-2017-155558,10/26/2017,PG-18895,19.99
CA-2017-155558,10/26/2017,PG-18895,6.16
CA-2016-159695,4/5/2016,GM-14455,158.368
CA-2016-109806,9/17/2016,JS-15685,20.1
CA-2016-109806,9/17/2016,JS-15685,73.584
CA-2016-109806,9/17/2016,JS-15685,6.48
CA-2015-149587,1/31/2015,KB-16315,12.96
CA-2015-149587,1/31/2015,KB-16315,53.34
CA-2015-149587,1/31/2015,KB-16315,32.96
US-2017-109484,11/6/2017,RB-19705,5.682
CA-2017-161018,11/9/2017,PN-18775,96.53
CA-2017-157833,6/17/2017,KD-16345,51.312
CA-2016-149223,9/6/2016,ER-13855,77.88
CA-2016-158568,8/29/2016,RB-19465,64.624
CA-2016-158568,8/29/2016,RB-19465,95.976
CA-2016-158568,8/29/2016,RB-19465,1.788
CA-2016-129903,12/1/2016,GZ-14470,23.92
US-2015-156867,11/13/2015,LC-16870,238.896
US-2015-156867,11/13/2015,LC-16870,102.36
US-2015-156867,11/13/2015,LC-16870,36.882
CA-2017-119004,11/23/2017,JM-15250,74.112
CA-2017-119004,11/23/2017,JM-15250,27.992
CA-2017-119004,11/23/2017,JM-15250,3.304
CA-2015-129476,10/15/2015,PA-19060,339.96
CA-2017-146780,12/25/2017,CV-12805,41.96
CA-2016-128867,11/3/2016,CL-12565,75.96
CA-2016-128867,11/3/2016,CL-12565,27.24
CA-2014-115259,8/25/2014,RC-19960,40.096
CA-2014-115259,8/25/2014,RC-19960,4.72
CA-2014-115259,8/25/2014,RC-19960,23.976
CA-2014-115259,8/25/2014,RC-19960,130.464
CA-2015-110457,3/2/2015,DK-13090,787.53
US-2015-136476,4/5/2015,GG-14650,157.794
CA-2016-103730,6/12/2016,SC-20725,47.04
CA-2016-103730,6/12/2016,SC-20725,30.84
CA-2016-103730,6/12/2016,SC-20725,226.56
CA-2016-103730,6/12/2016,SC-20725,115.02
CA-2016-103730,6/12/2016,SC-20725,68.04
US-2014-152030,12/26/2014,AD-10180,600.558
US-2014-134614,9/20/2014,PF-19165,617.7
US-2017-107272,11/5/2017,TS-21610,2.388
US-2017-107272,11/5/2017,TS-21610,243.992
US-2016-125969,11/6/2016,LS-16975,81.424
US-2016-125969,11/6/2016,LS-16975,238.56
US-2017-164147,2/2/2017,DW-13585,59.97
US-2017-164147,2/2/2017,DW-13585,78.304
US-2017-164147,2/2/2017,DW-13585,21.456
CA-2016-145583,10/13/2016,LC-16885,20.04
CA-2016-145583,10/13/2016,LC-16885,35.44
CA-2016-145583,10/13/2016,LC-16885,11.52
CA-2016-145583,10/13/2016,LC-16885,4.02
CA-2016-145583,10/13/2016,LC-16885,76.176
CA-2016-145583,10/13/2016,LC-16885,65.88
CA-2016-145583,10/13/2016,LC-16885,43.12
CA-2016-110366,9/5/2016,JD-15895,82.8
CA-2017-106180,9/18/2017,SH-19975,8.82
CA-2017-106180,9/18/2017,SH-19975,10.86
CA-2017-106180,9/18/2017,SH-19975,143.7
CA-2017-155376,12/22/2017,SG-20080,839.43
CA-2015-110744,9/7/2015,HA-14920,671.93
CA-2014-110072,10/22/2014,MG-17680,93.888
CA-2016-114489,12/5/2016,JE-16165,384.45
CA-2016-114489,12/5/2016,JE-16165,149.97
